Agency,SKU,YearMonth,Volume
Agency_09,SKU_01,201301,4272.048
Agency_02,SKU_01,201301,6512.94
Agency_32,SKU_04,201301,3324.2697
Agency_44,SKU_01,201301,0
Agency_19,SKU_04,201301,140.7717
Agency_10,SKU_23,201301,0
Agency_30,SKU_08,201301,92.5272
Agency_44,SKU_02,201301,0
Agency_09,SKU_02,201301,1362.636
Agency_54,SKU_14,201301,0
Agency_02,SKU_02,201301,8422.164
Agency_30,SKU_03,201301,8437.8348
Agency_24,SKU_01,201301,3.78
Agency_44,SKU_05,201301,0
Agency_09,SKU_05,201301,1435.9608
Agency_54,SKU_15,201301,0
Agency_02,SKU_05,201301,2629.2933
Agency_24,SKU_02,201301,92.016
Agency_34,SKU_03,201301,2.1996
Agency_20,SKU_01,201301,3764.016
Agency_24,SKU_05,201301,433.6893
Agency_56,SKU_01,201301,2999.16
Agency_20,SKU_07,201301,8.85
Agency_12,SKU_04,201301,1786.0689
Agency_18,SKU_03,201301,0
Agency_10,SKU_21,201301,0
Agency_44,SKU_04,201301,0
Agency_19,SKU_08,201301,3.3228
Agency_56,SKU_02,201301,692.928
Agency_57,SKU_04,201301,2097.4536
Agency_20,SKU_02,201301,8410.284
Agency_32,SKU_03,201301,631.962
Agency_09,SKU_04,201301,3270.0825
Agency_19,SKU_03,201301,62.604
Agency_56,SKU_05,201301,76.5522
Agency_20,SKU_05,201301,3281.3289
Agency_59,SKU_04,201301,1948.6305
Agency_02,SKU_11,201301,0
Agency_24,SKU_04,201301,44.0271
Agency_28,SKU_01,201301,8.1
Agency_48,SKU_01,201301,3195.382074
Agency_02,SKU_12,201301,69.825
Agency_32,SKU_14,201301,0
Agency_44,SKU_03,201301,0
Agency_09,SKU_27,201301,0
Agency_28,SKU_02,201301,47.088
Agency_02,SKU_31,201301,92.4825
Agency_16,SKU_07,201301,16.3725
Agency_05,SKU_04,201301,4036.1796
Agency_28,SKU_05,201301,1.6614
Agency_02,SKU_34,201301,106.6425
Agency_12,SKU_03,201301,510.6456
Agency_56,SKU_04,201301,1683.8928
Agency_16,SKU_02,201301,3.24
Agency_02,SKU_04,201301,6256.3851
Agency_05,SKU_01,201301,8780.508
Agency_16,SKU_05,201301,1160.2962
Agency_24,SKU_03,201301,0
Agency_09,SKU_03,201301,4792.7592
Agency_52,SKU_04,201301,280.5849
Agency_57,SKU_03,201301,782.127
Agency_05,SKU_02,201301,876.528
Agency_28,SKU_06,201301,270.756
Agency_05,SKU_05,201301,420.9093
Agency_11,SKU_01,201301,316.44
Agency_59,SKU_03,201301,812.9214
Agency_37,SKU_04,201301,0
Agency_11,SKU_02,201301,6.696
Agency_35,SKU_04,201301,0
Agency_56,SKU_03,201301,3647.529
Agency_11,SKU_05,201301,0
Agency_05,SKU_03,201301,632.0466
Agency_28,SKU_04,201301,42.6213
Agency_16,SKU_04,201301,1623.4434
Agency_52,SKU_03,201301,44.7534
Agency_24,SKU_21,201301,0
Agency_02,SKU_03,201301,7332.0282
Agency_35,SKU_32,201301,0.1917
Agency_43,SKU_01,201301,224.856
Agency_43,SKU_02,201301,95.472
Agency_52,SKU_01,201301,118.8
Agency_43,SKU_05,201301,369.342
Agency_11,SKU_04,201301,230.3595
Agency_37,SKU_18,201301,1.0998
Agency_15,SKU_01,201301,959.58
Agency_52,SKU_02,201301,1044.684
Agency_57,SKU_23,201301,0
Agency_05,SKU_14,201301,0
Agency_52,SKU_05,201301,961.4394
Agency_09,SKU_21,201301,0
Agency_43,SKU_04,201301,372.537
Agency_15,SKU_02,201301,0
Agency_59,SKU_17,201301,0
Agency_58,SKU_01,201301,5547.744
Agency_35,SKU_03,201301,2.538
Agency_36,SKU_04,201301,0
Agency_28,SKU_08,201301,8.6904
Agency_15,SKU_05,201301,161.2836
Agency_57,SKU_17,201301,0
Agency_16,SKU_03,201301,210.231
Agency_25,SKU_01,201301,17.172
Agency_58,SKU_07,201301,26.55
Agency_28,SKU_03,201301,1.0152
Agency_25,SKU_02,201301,45.252
Agency_25,SKU_05,201301,506.9826
Agency_58,SKU_02,201301,2128.896
Agency_05,SKU_26,201301,0
Agency_25,SKU_04,201301,27.9882
Agency_58,SKU_05,201301,1224.0045
Agency_05,SKU_23,201301,0
Agency_05,SKU_21,201301,0
Agency_43,SKU_03,201301,13.2822
Agency_36,SKU_03,201301,5.5836
Agency_15,SKU_04,201301,225.6948
Agency_58,SKU_03,201301,229.689
Agency_53,SKU_01,201301,3568.212
Agency_49,SKU_01,201301,2225.448
Agency_16,SKU_20,201301,0
Agency_53,SKU_07,201301,15.4875
Agency_25,SKU_03,201301,0.5076
Agency_16,SKU_01,201301,9196.524
Agency_49,SKU_07,201301,3.0975
Agency_53,SKU_02,201301,5728.428
Agency_53,SKU_05,201301,4390.7607
Agency_49,SKU_02,201301,2663.064
Agency_58,SKU_04,201301,2051.3178
Agency_49,SKU_05,201301,2653.128
Agency_15,SKU_03,201301,38.2392
Agency_36,SKU_22,201301,5.0268
Agency_25,SKU_21,201301,0
Agency_60,SKU_01,201301,9504.54
Agency_29,SKU_04,201301,44.2188
Agency_60,SKU_07,201301,35.8425
Agency_29,SKU_01,201301,1.728
Agency_60,SKU_03,201301,335.016
Agency_03,SKU_32,201301,10.0323
Agency_60,SKU_02,201301,2538.108
Agency_29,SKU_02,201301,5.724
Agency_60,SKU_05,201301,2005.3098
Agency_29,SKU_05,201301,16.1667
Agency_03,SKU_04,201301,2332.2222
Agency_49,SKU_34,201301,0
Agency_21,SKU_01,201301,36.828
Agency_27,SKU_04,201301,4940.4285
Agency_26,SKU_02,201301,0
Agency_49,SKU_04,201301,3664.8567
Agency_03,SKU_03,201301,6899.7222
Agency_29,SKU_06,201301,12.096
Agency_26,SKU_01,201301,0
Agency_27,SKU_08,201301,187.227
Agency_26,SKU_05,201301,0
Agency_60,SKU_04,201301,2201.0355
Agency_21,SKU_02,201301,39.744
Agency_29,SKU_08,201301,2.6838
Agency_27,SKU_03,201301,1570.8528
Agency_21,SKU_05,201301,206.8443
Agency_21,SKU_04,201301,19.2978
Agency_29,SKU_03,201301,0
Agency_60,SKU_23,201301,0
Agency_49,SKU_03,201301,7969.9122
Agency_04,SKU_04,201301,101.4093
Agency_21,SKU_03,201301,15.9048
Agency_21,SKU_21,201301,0
Agency_26,SKU_11,201301,6.816
Agency_26,SKU_04,201301,6.9651
Agency_03,SKU_05,201301,854.0235
Agency_04,SKU_03,201301,389.6676
Agency_26,SKU_18,201301,6.5142
Agency_04,SKU_02,201301,71.496
Agency_27,SKU_05,201301,74.0601
Agency_04,SKU_05,201301,14.2497
Agency_27,SKU_02,201301,448.632
Agency_03,SKU_02,201301,972.324
Agency_04,SKU_01,201301,21.816
Agency_27,SKU_06,201301,64.908
Agency_03,SKU_01,201301,3546.72
Agency_27,SKU_01,201301,1155.816
Agency_26,SKU_03,201301,0
Agency_53,SKU_04,201401,2025.5661
Agency_53,SKU_24,201401,0
Agency_53,SKU_03,201401,346.3524
Agency_12,SKU_05,201401,1560.1185
Agency_09,SKU_21,201401,0
Agency_12,SKU_02,201401,2466.288
Agency_01,SKU_02,201401,67.608
Agency_01,SKU_05,201401,14.5053
Agency_12,SKU_04,201401,1431.5517
Agency_53,SKU_15,201401,0
Agency_01,SKU_01,201401,100.548
Agency_09,SKU_03,201401,5648.0652
Agency_10,SKU_01,201401,2243.592
Agency_01,SKU_11,201401,14.1432
Agency_12,SKU_03,201401,504.9774
Agency_12,SKU_07,201401,19.47
Agency_10,SKU_02,201401,169.02
Agency_09,SKU_27,201401,0
Agency_12,SKU_01,201401,8780.4
Agency_10,SKU_05,201401,103.3263
Agency_20,SKU_23,201401,0
Agency_44,SKU_03,201401,0
Agency_01,SKU_04,201401,234.8964
Agency_01,SKU_03,201401,50.2524
Agency_45,SKU_01,201401,53.136
Agency_45,SKU_02,201401,39.096
Agency_20,SKU_21,201401,0
Agency_45,SKU_05,201401,263.0763
Agency_39,SKU_07,201401,9.2925
Agency_16,SKU_03,201401,198.5562
Agency_25,SKU_01,201401,9.936
Agency_45,SKU_04,201401,181.1565
Agency_25,SKU_02,201401,23.76
Agency_39,SKU_02,201401,4460.94
Agency_10,SKU_04,201401,1589.0013
Agency_11,SKU_03,201401,161.2476
Agency_25,SKU_05,201401,478.9944
Agency_39,SKU_05,201401,6228.0774
Agency_25,SKU_04,201401,4.2174
Agency_08,SKU_03,201401,13.4514
Agency_20,SKU_04,201401,1245.2832
Agency_09,SKU_01,201401,3783.888
Agency_44,SKU_01,201401,0
Agency_44,SKU_02,201401,0
Agency_09,SKU_02,201401,1305.504
Agency_13,SKU_01,201401,6257.52
Agency_45,SKU_08,201401,8.4348
Agency_10,SKU_32,201401,114.5727
Agency_44,SKU_05,201401,0
Agency_09,SKU_05,201401,1583.3781
Agency_13,SKU_07,201401,14.6025
Agency_38,SKU_01,201401,7828.92
Agency_45,SKU_03,201401,35.955
Agency_38,SKU_07,201401,123.9
Agency_16,SKU_20,201401,0
Agency_13,SKU_02,201401,2514.456
Agency_25,SKU_03,201401,9.0522
Agency_55,SKU_04,201401,3402.6111
Agency_39,SKU_04,201401,1721.2743
Agency_13,SKU_05,201401,1133.1387
Agency_38,SKU_02,201401,3563.136
Agency_20,SKU_03,201401,399.2274
Agency_44,SKU_04,201401,0
Agency_38,SKU_05,201401,3816.3636
Agency_43,SKU_01,201401,435.888
Agency_09,SKU_04,201401,2450.1177
Agency_08,SKU_02,201401,3.24
Agency_43,SKU_02,201401,286.2
Agency_10,SKU_03,201401,3033.0792
Agency_08,SKU_05,201401,5.9427
Agency_18,SKU_01,201401,0.432
Agency_52,SKU_01,201401,198.396
Agency_43,SKU_05,201401,511.7112
Agency_15,SKU_01,201401,950.076
Agency_08,SKU_01,201401,122.148
Agency_25,SKU_21,201401,0
Agency_52,SKU_02,201401,1056.996
Agency_08,SKU_04,201401,155.2131
Agency_18,SKU_02,201401,0
Agency_55,SKU_03,201401,4916.0214
Agency_52,SKU_05,201401,943.5474
Agency_43,SKU_04,201401,484.4259
Agency_13,SKU_20,201401,0
Agency_15,SKU_02,201401,137.808
Agency_22,SKU_01,201401,49.248
Agency_16,SKU_07,201401,28.7625
Agency_18,SKU_05,201401,308.8287
Agency_15,SKU_05,201401,153.999
Agency_39,SKU_03,201401,303.3756
Agency_22,SKU_02,201401,106.164
Agency_23,SKU_01,201401,43.2
Agency_55,SKU_02,201401,591.948
Agency_13,SKU_04,201401,1781.7876
Agency_22,SKU_05,201401,242.181
Agency_23,SKU_02,201401,53.568
Agency_55,SKU_05,201401,150.3567
Agency_16,SKU_02,201401,2444.04
Agency_38,SKU_04,201401,1451.8719
Agency_23,SKU_05,201401,509.3469
Agency_16,SKU_05,201401,1254.8043
Agency_18,SKU_04,201401,145.2447
Agency_52,SKU_04,201401,188.8884
Agency_23,SKU_04,201401,13.9302
Agency_21,SKU_01,201401,34.236
Agency_10,SKU_23,201401,0
Agency_49,SKU_23,201401,0
Agency_43,SKU_03,201401,33.7554
Agency_38,SKU_21,201401,0
Agency_24,SKU_01,201401,2.16
Agency_15,SKU_04,201401,160.0695
Agency_22,SKU_04,201401,50.481
Agency_21,SKU_02,201401,66.312
Agency_24,SKU_02,201401,92.016
Agency_21,SKU_05,201401,224.2251
Agency_24,SKU_05,201401,417.7782
Agency_13,SKU_03,201401,310.059
Agency_56,SKU_01,201401,3920.508
Agency_16,SKU_04,201401,1623.3156
Agency_18,SKU_03,201401,10.152
Agency_52,SKU_03,201401,36.2088
Agency_38,SKU_03,201401,2379.2904
Agency_23,SKU_03,201401,6.8526
Agency_10,SKU_21,201401,0
Agency_56,SKU_02,201401,347.112
Agency_56,SKU_05,201401,40.5765
Agency_32,SKU_01,201401,1388.988
Agency_22,SKU_03,201401,77.4936
Agency_15,SKU_03,201401,66.9186
Agency_21,SKU_04,201401,10.7352
Agency_36,SKU_22,201401,9.5424
Agency_24,SKU_04,201401,45.6885
Agency_32,SKU_02,201401,1718.388
Agency_32,SKU_05,201401,2246.085
Agency_38,SKU_14,201401,0
Agency_55,SKU_01,201401,5362.848
Agency_23,SKU_21,201401,0
Agency_39,SKU_01,201401,2447.28
Agency_32,SKU_14,201401,0
Agency_36,SKU_04,201401,0
Agency_19,SKU_01,201401,9.72
Agency_19,SKU_02,201401,83.16
Agency_56,SKU_04,201401,1869.8418
Agency_19,SKU_05,201401,96.9363
Agency_21,SKU_03,201401,24.111
Agency_24,SKU_03,201401,10.7442
Agency_32,SKU_04,201401,2332.4139
Agency_19,SKU_04,201401,69.3954
Agency_11,SKU_01,201401,295.92
Agency_36,SKU_03,201401,5.922
Agency_37,SKU_04,201401,0
Agency_11,SKU_02,201401,22.032
Agency_53,SKU_01,201401,3429.324
Agency_20,SKU_01,201401,3267.864
Agency_56,SKU_03,201401,3922.479
Agency_21,SKU_21,201401,0
Agency_11,SKU_05,201401,10.6713
Agency_53,SKU_07,201401,49.56
Agency_20,SKU_07,201401,8.4075
Agency_24,SKU_21,201401,0
Agency_19,SKU_08,201401,2.4921
Agency_53,SKU_02,201401,5918.292
Agency_20,SKU_02,201401,8385.012
Agency_32,SKU_03,201401,750.6558
Agency_19,SKU_03,201401,46.0224
Agency_53,SKU_05,201401,4503.4803
Agency_20,SKU_05,201401,2731.6611
Agency_11,SKU_04,201401,167.2263
Agency_51,SKU_01,201401,3397.68
Agency_37,SKU_18,201401,2.538
Agency_51,SKU_07,201401,10.1775
Agency_16,SKU_01,201401,9492.444
Agency_58,SKU_23,201401,0
Agency_51,SKU_02,201401,3614.76
Agency_51,SKU_05,201401,2184.2298
Agency_58,SKU_17,201401,0
Agency_31,SKU_01,201401,155.628
Agency_46,SKU_01,201401,3020.976
Agency_58,SKU_02,201401,2569.968
Agency_40,SKU_04,201401,0.639
Agency_58,SKU_05,201401,1292.5053
Agency_47,SKU_04,201401,79.1082
Agency_03,SKU_04,201401,1687.9185
Agency_31,SKU_02,201401,21.6
Agency_31,SKU_05,201401,12.3966
Agency_46,SKU_02,201401,4107.132
Agency_41,SKU_03,201401,941.8518
Agency_41,SKU_01,201401,5414.904
Agency_46,SKU_05,201401,4311.3969
Agency_26,SKU_01,201401,0
Agency_03,SKU_32,201401,5.8149
Agency_26,SKU_02,201401,0
Agency_41,SKU_02,201401,3902.58
Agency_31,SKU_04,201401,984.4434
Agency_26,SKU_05,201401,0
Agency_49,SKU_01,201401,2162.268
Agency_54,SKU_01,201401,65.232
Agency_41,SKU_05,201401,3633.2262
Agency_54,SKU_02,201401,37.26
Agency_51,SKU_04,201401,3087.2007
Agency_47,SKU_03,201401,284.0868
Agency_49,SKU_07,201401,3.0975
Agency_54,SKU_05,201401,106.2657
Agency_40,SKU_03,201401,16.8354
Agency_03,SKU_03,201401,8051.7204
Agency_46,SKU_04,201401,3565.62
Agency_49,SKU_02,201401,2807.352
Agency_40,SKU_18,201401,0.423
Agency_58,SKU_04,201401,2140.5222
Agency_49,SKU_05,201401,2432.034
Agency_54,SKU_04,201401,49.5864
Agency_31,SKU_08,201401,4.4091
Agency_26,SKU_11,201401,4.9416
Agency_31,SKU_03,201401,543.8934
Agency_41,SKU_04,201401,1292.8887
Agency_47,SKU_01,201401,15.876
Agency_50,SKU_01,201401,1070.82
Agency_26,SKU_04,201401,7.029
Agency_47,SKU_17,201401,0
Agency_47,SKU_02,201401,0.756
Agency_50,SKU_02,201401,9995.616
Agency_51,SKU_03,201401,3503.8782
Agency_47,SKU_05,201401,0.5112
Agency_50,SKU_05,201401,3975.9858
Agency_54,SKU_03,201401,134.937
Agency_46,SKU_03,201401,1946.3076
Agency_05,SKU_23,201401,0
Agency_49,SKU_34,201401,0
Agency_30,SKU_08,201401,71.5041
Agency_33,SKU_04,201401,0.3195
Agency_49,SKU_04,201401,3138.8319
Agency_54,SKU_14,201401,0
Agency_30,SKU_03,201401,8382.5064
Agency_54,SKU_15,201401,0
Agency_58,SKU_03,201401,312.174
Agency_26,SKU_03,201401,0
Agency_05,SKU_26,201401,0
Agency_26,SKU_18,201401,3.9762
Agency_05,SKU_21,201401,0
Agency_50,SKU_04,201401,3119.4063
Agency_46,SKU_17,201401,0
Agency_42,SKU_01,201401,272.052
Agency_48,SKU_23,201401,0
Agency_51,SKU_17,201401,0
Agency_42,SKU_02,201401,187.056
Agency_42,SKU_05,201401,417.267
Agency_33,SKU_03,201401,2.961
Agency_49,SKU_03,201401,8016.696
Agency_48,SKU_17,201401,0
Agency_33,SKU_18,201401,11.3364
Agency_28,SKU_01,201401,12.636
Agency_42,SKU_04,201401,121.3461
Agency_48,SKU_01,201401,3205.279423
Agency_48,SKU_28,201401,0
Agency_58,SKU_01,201401,5824.332
Agency_35,SKU_03,201401,13.2822
Agency_28,SKU_02,201401,39.42
Agency_59,SKU_07,201401,19.9125
Agency_34,SKU_04,201401,0.3195
Agency_50,SKU_03,201401,497.2788
Agency_57,SKU_17,201401,0
Agency_48,SKU_07,201401,4.8675
Agency_58,SKU_07,201401,37.17
Agency_28,SKU_05,201401,1.1502
Agency_48,SKU_03,201401,6671.092166
Agency_59,SKU_02,201401,2182.788
Agency_48,SKU_02,201401,563.7189033
Agency_59,SKU_05,201401,1332.6345
Agency_04,SKU_01,201401,23.76
Agency_42,SKU_03,201401,598.545
Agency_48,SKU_05,201401,1728.37996
Agency_27,SKU_06,201401,23.004
Agency_04,SKU_02,201401,1.512
Agency_27,SKU_01,201401,1254.636
Agency_04,SKU_05,201401,1.0224
Agency_27,SKU_04,201401,3571.5627
Agency_57,SKU_03,201401,837.963
Agency_27,SKU_02,201401,522.612
Agency_28,SKU_06,201401,246.456
Agency_17,SKU_01,201401,70.74
Agency_27,SKU_08,201401,165.8844
Agency_27,SKU_05,201401,74.124
Agency_27,SKU_03,201401,1945.6308
Agency_34,SKU_03,201401,2.7918
Agency_35,SKU_04,201401,0
Agency_28,SKU_04,201401,29.6496
Agency_17,SKU_02,201401,988.308
Agency_04,SKU_04,201401,95.2749
Agency_50,SKU_17,201401,0
Agency_17,SKU_05,201401,674.5284
Agency_35,SKU_32,201401,0
Agency_48,SKU_04,201401,2801.104181
Agency_59,SKU_04,201401,1738.0161
Agency_57,SKU_01,201401,7429.32
Agency_59,SKU_01,201401,7378.776
Agency_34,SKU_22,201401,1.3632
Agency_04,SKU_03,201401,456.417
Agency_57,SKU_07,201401,126.555
Agency_02,SKU_31,201401,28.32
Agency_57,SKU_23,201401,0
Agency_02,SKU_34,201401,49.56
Agency_17,SKU_04,201401,263.0124
Agency_57,SKU_02,201401,2860.38
Agency_29,SKU_04,201401,30.6081
Agency_07,SKU_21,201401,0
Agency_28,SKU_08,201401,5.9427
Agency_05,SKU_04,201401,2620.539
Agency_57,SKU_05,201401,1527.4017
Agency_02,SKU_04,201401,3832.6581
Agency_28,SKU_03,201401,15.228
Agency_57,SKU_04,201401,2219.5026
Agency_02,SKU_01,201401,5302.368
Agency_17,SKU_03,201401,23.0958
Agency_02,SKU_02,201401,6372
Agency_07,SKU_03,201401,572.9958
Agency_02,SKU_11,201401,0
Agency_59,SKU_03,201401,743.0418
Agency_02,SKU_05,201401,2120.202
Agency_29,SKU_08,201401,2.2365
Agency_02,SKU_12,201401,66
Agency_29,SKU_03,201401,1.692
Agency_02,SKU_03,201401,9722.232
Agency_05,SKU_03,201401,915.4566
Agency_60,SKU_07,201401,73.8975
Agency_07,SKU_01,201401,6638.652
Agency_60,SKU_02,201401,2918.592
Agency_60,SKU_01,201401,9813.96
Agency_60,SKU_05,201401,1971.5067
Agency_07,SKU_02,201401,546.48
Agency_29,SKU_06,201401,7.56
Agency_05,SKU_01,201401,8792.172
Agency_07,SKU_04,201401,2159.1171
Agency_07,SKU_05,201401,67.1589
Agency_05,SKU_14,201401,0
Agency_59,SKU_17,201401,0
Agency_60,SKU_04,201401,2127.231
Agency_05,SKU_02,201401,868.536
Agency_30,SKU_02,201401,145.908
Agency_05,SKU_05,201401,338.2866
Agency_60,SKU_23,201401,0
Agency_30,SKU_01,201401,1155.276
Agency_29,SKU_01,201401,3.456
Agency_03,SKU_01,201401,2968.812
Agency_30,SKU_05,201401,198.729
Agency_60,SKU_03,201401,426.807
Agency_30,SKU_04,201401,2615.8743
Agency_29,SKU_02,201401,4.428
Agency_30,SKU_06,201401,3.888
Agency_03,SKU_02,201401,1051.812
Agency_29,SKU_05,201401,35.5284
Agency_03,SKU_05,201401,639.639
Agency_32,SKU_02,201501,2341.008
Agency_53,SKU_04,201501,1400.2407
Agency_32,SKU_05,201501,2777.8608
Agency_32,SKU_01,201501,1790.316
Agency_53,SKU_03,201501,329.1786
Agency_46,SKU_04,201501,3371.7474
Agency_53,SKU_24,201501,0
Agency_08,SKU_01,201501,154.224
Agency_46,SKU_01,201501,3486.672
Agency_16,SKU_01,201501,8997.588
Agency_32,SKU_04,201501,2170.1079
Agency_32,SKU_14,201501,1.3632
Agency_16,SKU_07,201501,15.045
Agency_46,SKU_02,201501,4604.148
Agency_46,SKU_05,201501,4212.9909
Agency_08,SKU_02,201501,3.672
Agency_08,SKU_05,201501,5.9427
Agency_16,SKU_02,201501,3118.5
Agency_53,SKU_15,201501,2.3004
